STRUCTURE_NUMBER_008,LAT_016,LONG_017,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071
1.08E+13,33.68238888888889,-96.31916111111111,1.0,5.0,1.0,N,N,N,6,7,6.0,4,N,5.0,6
1.08E+13,33.67906111111111,-96.34838611111111,1.0,5.0,1.0,7,6,3,4,N,3.0,5,N,3.0,6
1.08E+13,33.678327777777774,-96.27066666666667,1.0,5.0,1.0,7,7,5,4,N,5.0,5,N,5.0,6
1.08E+13,33.67751111111111,-96.30005833333333,1.0,5.0,1.0,N,N,N,6,7,6.0,N,N,5.0,6
1.08E+13,33.73274722222222,-96.24025833333333,1.0,5.0,1.0,6,6,6,6,N,6.0,4,N,5.0,7
1.08E+13,33.734516666666664,-96.2070638888889,1.0,5.0,1.0,6,6,6,6,N,6.0,4,N,5.0,7
1.08E+13,33.540080555555555,-96.200625,1.0,5.0,1.0,N,N,N,6,7,6.0,6,N,5.0,7
1.08E+13,33.497119444444444,-96.34669166666666,1.0,5.0,1.0,N,N,N,6,7,6.0,8,N,5.0,6
1.08E+13,33.497816666666665,-96.33678611111111,1.0,5.0,1.0,7,6,7,5,N,6.0,4,N,5.0,5
1.08E+13,33.49453888888889,-96.32003888888889,1.0,5.0,1.0,N,N,N,6,7,6.0,8,N,5.0,6
1.08E+13,33.49122777777778,-96.29622499999999,1.0,5.0,1.0,7,7,7,7,N,7.0,4,N,5.0,6
1.08E+13,33.485305555555556,-96.2587638888889,1.0,1.0,5.0,6,6,6,N,N,6.0,5,7,5.0,N
1.08E+13,33.40718611111111,-96.11531666666666,1.0,5.0,1.0,N,N,N,6,6,6.0,6,N,5.0,6
1.08E+13,33.475322222222225,-96.21441388888888,1.0,5.0,1.0,7,7,6,6,N,6.0,4,N,5.0,6
1.08E+13,33.46223333333334,-96.20348611111112,1.0,5.0,1.0,7,7,5,6,N,5.0,4,N,5.0,6
1.08E+13,33.80976666666666,-96.12682777777778,1.0,5.0,1.0,N,N,N,7,6,6.0,N,N,5.0,7
1.08E+13,33.80912222222222,-96.11137222222222,1.0,5.0,1.0,N,N,N,5,6,6.0,N,N,5.0,7
1.08E+13,33.81446944444444,-96.09351944444444,1.0,5.0,1.0,N,N,N,6,6,6.0,N,N,5.0,7
1.08E+13,33.81488888888889,-96.07615833333332,1.0,5.0,1.0,N,N,N,6,6,6.0,6,N,5.0,7
1.08E+13,33.74749166666667,-96.01918888888889,1.0,5.0,1.0,7,7,6,6,N,6.0,5,N,5.0,5
1.08E+13,33.4635,-95.87781666666666,1.0,5.0,5.0,7,7,6,5,N,6.0,6,N,5.0,9
1.08E+13,33.506797222222225,-96.21414166666666,1.0,5.0,1.0,7,7,6,6,N,6.0,5,N,5.0,7
1.08E+13,33.48127222222222,-96.214325,1.0,5.0,1.0,7,7,7,6,N,6.0,5,N,5.0,7
1.08E+13,33.52294444444444,-96.21618055555555,1.0,5.0,5.0,7,8,7,6,N,7.0,6,N,5.0,8
1.08E+13,33.74429722222222,-95.96075833333333,1.0,5.0,5.0,6,7,7,6,N,7.0,5,N,5.0,5
1.08E+13,33.74396388888889,-95.96535277777778,1.0,9.0,1.0,N,N,N,6,7,7.0,7,N,5.0,5
1.08E+13,33.74134166666667,-95.92739722222223,1.0,5.0,5.0,7,7,7,6,N,7.0,5,N,5.0,8
1.08E+13,33.45258611111112,-95.9603,1.0,5.0,1.0,7,7,3,3,N,3.0,5,N,5.0,7
1.08E+13,33.460013888888895,-95.97033055555556,1.0,5.0,1.0,N,N,N,5,6,6.0,7,N,5.0,7
1.08E+13,33.46649722222222,-95.98609166666667,1.0,5.0,1.0,N,N,N,5,5,5.0,N,N,5.0,7
1.08E+13,33.186502777777775,-95.29752777777777,1.0,5.0,1.0,N,N,N,8,6,6.0,9,N,5.0,6
1.08E+13,33.1868,-95.2929,1.0,5.0,1.0,6,6,5,6,N,5.0,5,N,5.0,6
1.08E+13,33.18555833333333,-95.26659444444445,1.0,5.0,1.0,6,6,5,6,N,5.0,5,N,5.0,6
1.08E+13,33.17669166666666,-95.14563333333334,1.0,5.0,1.0,7,6,6,5,N,6.0,5,N,5.0,6
1.08E+13,33.173680555555556,-95.1375388888889,1.0,5.0,1.0,N,N,N,6,7,6.0,8,N,5.0,6
1.08E+13,33.33103888888889,-95.24971944444445,1.0,5.0,1.0,N,N,N,6,7,6.0,9,N,5.0,6
1.08E+13,33.30672777777777,-95.24684444444445,1.0,5.0,1.0,N,N,N,6,6,6.0,9,N,5.0,6
1.08E+13,33.295363888888886,-95.24495833333333,1.0,5.0,1.0,N,N,N,6,6,6.0,9,N,5.0,6
1.08E+13,33.360736111111116,-95.243375,1.0,9.0,5.0,7,7,7,6,N,7.0,9,N,5.0,6
